Ensemble, Number of random points, Compressed size, Compression time, Lossless rate on train data, Lossless rate on test data
FICO 1,1000,31,26.582297325134277,0.989588866461277,0.9780114722753346
FICO 2,1000,29,53.2471079826355,0.9922447678742166,0.9904397705544933
FICO 3,1000,35,32.425055265426636,0.9985126952087539,1.0
FICO 4,1000,31,22.467942476272583,0.9874641453309253,0.9904397705544933
FICO 5,1000,23,13.047064542770386,0.9996812918304473,1.0
FICO 6,1000,33,12.53261137008667,0.9924572399872517,0.9933078393881453
FICO 7,1000,29,30.652294158935547,0.9977690428131307,0.9961759082217974
FICO 8,1000,37,86.22812700271606,0.992351003930734,0.9894837476099426
FICO 9,1000,35,39.30407691001892,0.9924572399872517,0.994263862332696
FICO 10,1000,31,29.118832111358643,0.9985128531973656,0.999043062200957
COMPAS-ProPublica 1,1000,25,11.997852802276611,1.0,1.0
COMPAS-ProPublica 2,1000,19,6.98629093170166,0.9980694980694981,1.0
COMPAS-ProPublica 3,1000,31,14.998920440673828,0.9851994851994852,0.984081041968162
COMPAS-ProPublica 4,1000,27,40.00490069389343,0.9982303732303732,0.9971056439942113
COMPAS-ProPublica 5,1000,19,8.873336553573608,0.999034749034749,1.0
COMPAS-ProPublica 6,1000,21,8.988532781600952,0.9744208494208494,0.9797395079594791
COMPAS-ProPublica 7,1000,31,7.718502044677734,0.9975868725868726,0.9956584659913169
COMPAS-ProPublica 8,1000,21,8.561686038970947,0.9995174521473379,1.0
COMPAS-ProPublica 9,1000,27,9.402781009674072,1.0,1.0
COMPAS-ProPublica 10,1000,21,9.570411682128906,0.985684413704359,0.981159420289855
HTRU2 1,1000,7,7.091224193572998,1.0,0.9994413407821229
HTRU2 2,1000,3,6.9902284145355225,0.9998137571393096,1.0
HTRU2 3,1000,11,7.098318815231323,0.9985721380680407,0.9977653631284916
HTRU2 4,1000,9,7.2122485637664795,0.9979513285324063,0.9966480446927374
HTRU2 5,1000,5,7.132898807525635,0.9993171095108021,0.9994413407821229
HTRU2 6,1000,5,7.063574314117432,0.9995033523714925,1.0
HTRU2 7,1000,7,7.00239896774292,0.9973925999503352,0.9988826815642458
HTRU2 8,1000,9,7.212700605392456,0.9999379190464366,1.0
HTRU2 9,1000,7,6.69612979888916,0.9996896145012105,1.0
HTRU2 10,1000,7,6.670912265777588,0.9998137687007264,1.0
Pima-Diabetes 1,1000,17,6.223374605178833,0.9942112879884226,1.0
Pima-Diabetes 2,1000,19,5.948530435562134,0.9811866859623734,0.987012987012987
Pima-Diabetes 3,1000,13,6.764432430267334,0.9898697539797395,1.0
Pima-Diabetes 4,1000,17,6.151782989501953,0.984081041968162,0.974025974025974
Pima-Diabetes 5,1000,17,6.093030214309692,0.984081041968162,1.0
Pima-Diabetes 6,1000,11,5.407837629318237,0.9869753979739508,0.987012987012987
Pima-Diabetes 7,1000,15,6.125632286071777,0.9768451519536903,0.987012987012987
Pima-Diabetes 8,1000,17,6.158871650695801,0.9942112879884226,0.974025974025974
Pima-Diabetes 9,1000,19,6.363418102264404,0.9942196531791907,0.9868421052631579
Pima-Diabetes 10,1000,23,6.003243684768677,0.9898843930635838,0.9868421052631579
Breast-Cancer-Wisconsin 1,1000,15,32.76771903038025,0.995114006514658,0.9855072463768116
Breast-Cancer-Wisconsin 2,1000,9,7.530605316162109,0.998371335504886,0.9855072463768116
Breast-Cancer-Wisconsin 3,1000,7,7.58027458190918,0.996742671009772,0.9710144927536232
Breast-Cancer-Wisconsin 4,1000,5,7.682987689971924,0.9934959349593496,0.9852941176470589
Breast-Cancer-Wisconsin 5,1000,7,8.814935207366943,0.9967479674796748,1.0
Breast-Cancer-Wisconsin 6,1000,13,25.492703676223755,0.9967479674796748,1.0
Breast-Cancer-Wisconsin 7,1000,5,7.863643646240234,0.9902439024390244,0.9705882352941176
Breast-Cancer-Wisconsin 8,1000,9,8.585463523864746,0.9983739837398374,0.9705882352941176
Breast-Cancer-Wisconsin 9,1000,11,14.31585431098938,0.9983739837398374,1.0
Breast-Cancer-Wisconsin 10,1000,9,8.660306692123413,0.9951219512195122,0.9852941176470589
Seeds 1,1000,25,398.22018933296204,0.9894179894179894,1.0
FICO 2,1000,23,6985.0361161231995,1.0,1.0
FICO 3,1000,35,620.832197189331,0.9947089947089947,1.0
FICO 4,1000,17,381.41780519485474,0.9788359788359788,1.0
FICO 5,1000,17,1143.6413071155548,0.9682539682539683,0.9523809523809523
FICO 6,1000,29,4436.846934080124,1.0,1.0
FICO 7,1000,35,53154.82528376579,0.9841269841269841,1.0
FICO 8,1000,23,3219.844868183136,0.9841269841269841,1.0
FICO 9,1000,25,200.3641517162323,1.0,1.0
FICO 10,1000,17,98227.98713231087,0.9894179894179894,1.0
