,Ensemble,Base Dataset,Original Size,Compressed Size,Compression Time,Reached Optimal ,Number of iterations,Reached Optimal
0,Pima-Diabetes.RF1.txt,Pima-Diabetes.train1.csv,100,6,10297.233062411,,1000,False
1,Pima-Diabetes.RF6.txt,Pima-Diabetes.train6.csv,100,4,3729.2369738849993,,1000,False
2,Pima-Diabetes.RF10.txt,Pima-Diabetes.train10.csv,100,4,6690.5362013019985,,1000,False
3,Pima-Diabetes.RF8.txt,Pima-Diabetes.train8.csv,100,2,3765.0793111700004,,1000,False
4,Pima-Diabetes.RF9.txt,Pima-Diabetes.train9.csv,100,2,3353.312807117003,,1000,False
5,Pima-Diabetes.RF7.txt,Pima-Diabetes.train7.csv,100,6,12977.795340541,,1000,False
6,Pima-Diabetes.RF3.txt,Pima-Diabetes.train3.csv,100,2,4024.2403685860045,,1000,False
7,Pima-Diabetes.RF4.txt,Pima-Diabetes.train4.csv,100,6,7972.670547590002,,1000,False
8,Pima-Diabetes.RF5.txt,Pima-Diabetes.train5.csv,100,4,4904.031312396,,1000,False
9,Pima-Diabetes.RF2.txt,Pima-Diabetes.train2.csv,100,4,4070.650183400001,,1000,False
